url,name,description,star_rating,keyword_rating,total_reviews,km_from_city_center,currency,min_dorm_price,min_privates_price
https://www.hostelworld.com/st/hostels/p/88047/wombat-s-city-hostel-london/,Wombat's City Hostel London,"Our Wombat's City Hostel is located in the London Borough of Tower Hamlets, right next to the famous Tower Bridge and Tower of London, charming markets, authentic pubs and many other places of historical interest.",9.0,Superb,15537,3.57,€,38.97,38.97
https://www.hostelworld.com/st/hostels/p/502/st-christopher-s-village/,St Christopher's Village,"St Christopher's Inn at The Village in London Bridge offers Japanese-style capsule beds and private rooms with views of the Shard, as well as a continental breakfast, a bar and easy access to two tube stations.",8.2,Fabulous,12599,1.78,€,21.86,33.83
https://www.hostelworld.com/st/hostels/p/64746/barmy-badger-backpackers/,Barmy Badger Backpackers,"The Badger features 2 dogs, complimentary breakfast, 120 megabyte WiFi, USB ports in all rooms, personal lockers with laptop safety, tea and coffee all day, bbq and garden access, luggage storage",9.0,Superb,2005,5.51,€,27.71,46.48
https://www.hostelworld.com/st/hostels/p/291433/onefam-notting-hill/,Onefam Notting Hill,"The perfect place for solo travelers to connect, explore and party! Join the Onefam Family and let us show you the beautiful city of London! What really makes our hostel unique and what has helped us win HostelWorld awards year after year, are our amazing...",9.6,Superb,2374,5.47,€,27.25,83.11
https://www.hostelworld.com/st/hostels/p/58378/the-walrus-hostel/,The Walrus Hostel,"The Walrus Hostel offers a convenient location near many of London's famous landmarks, a fully equipped guest kitchen, a traditional English pub, and a safe environment for those under 18s when accompanied by a guardian.",8.3,Fabulous,4248,0.18,€,25.4,46.19
https://www.hostelworld.com/st/hostels/p/14348/palmers-lodge-swiss-cottage/,Palmers Lodge - Swiss Cottage,"Whether you?re a Backpacker or a Budget traveller with excellent taste, you will enjoy Palmers Lodges Swiss Cottage, the grand charm of this historic building",8.8,Fabulous,15800,6.5,€,31.18,28.06
https://www.hostelworld.com/st/hostels/p/516/clink261/,Clink261,"Clink261 is a great choice for travelers seeking comfort and convenience, offering free Wi-Fi, British-themed interiors, 24/7 reception, and discounted tickets on tours and attractions.",8.0,Fabulous,443,3.24,€,25.4,34.41
https://www.hostelworld.com/st/hostels/p/7502/pickwick-hall/,Pickwick Hall,"Pickwick Hall provides accommodation for tourists, students and other people who require cheap, clean and attractive short or long-term lodging. We are situated in central London, in the famous area of Bloomsbury",8.1,Fabulous,2723,2.28,€,N/A,31.18
https://www.hostelworld.com/st/hostels/p/314563/destinations-hostels-the-gallery/,Destinations Hostels @ The Gallery,"Destinations Hostels @ The Gallery is 10min walk from the Tate Britain museum. 15 mins walk from Big Ben, Westminster Abbey, the London Eye and Buckingham palace and 20mins from Trafalgar square.",9.2,Superb,267,1.72,€,40.41,34.64
https://www.hostelworld.com/st/hostels/p/303427/urbany-hostel-london/,Urbany Hostel London,"Urbany Hostel London offers a perfect spot to explore the city in a typical Victorian terraced house in Notting Hill. Guests can enjoy free Wi-Fi, luggage storage, towel rental, basic laundry service and CCTV for security.",9.5,Superb,1000,5.39,€,25.45,58.94
https://www.hostelworld.com/st/hostels/p/515/international-students-house/,International Students  House,"International Students House provides affordable accommodation in Central London, with a variety of room types and a vibrant student centre with free amenities.",8.8,Fabulous,1087,3.26,€,N/A,57.16
https://www.hostelworld.com/st/hostels/p/310274/selina-camden/,Selina Camden,"Selina Camden offers a great guest experience with a 24-hour front desk, flexible cancellations, a no-shows policy, and payment upon arrival. It also features a communal kitchen, a loft with a balcony, and a vegan eatery.",8.7,Fabulous,61,5.47,€,48.5,51.27
https://www.hostelworld.com/st/hostels/p/297123/publove-the-rose-and-crown/,PubLove @ The Rose & Crown,"Food & culture lovers, assemble! The Rose & Crown is the perfect base to wander the incredible streets of London?s effortlessly cool Southbank.",8.3,Fabulous,214,1.6,€,19.63,19.63
https://www.hostelworld.com/st/hostels/p/25678/astor-hyde-park/,Astor Hyde Park,"Located in the most beautiful and charming neighbourhood in London, Astor Hyde Park is one minute from Hyde Park and surrounded by some of London's greatest museums",8.2,Fabulous,12238,4.34,€,19.63,52.54
https://www.hostelworld.com/st/hostels/p/316723/hostelle-women-only-hostel-london/,Hostelle - women only hostel London,"Near the Hostelle you will find the London Wall at 2.8 km, the Tower Bridge at 3.3 km, the London Eye at 5.7 km, the Trafalgar Square at 5.7 km, the Sra Life Centre London Aquarium at 5.9 km, and the Sky Garden at 2.8 km, among other attractions.",8.7,Fabulous,74,5.07,€,30.02,N/A
https://www.hostelworld.com/st/hostels/p/527/london-backpackers/,London Backpackers,IMPORTANT NOTICE: ALL BOOKINGS THAT FALL BETWEEN 28TH DEC 2022 - 2ND JAN 2023 WILL BE CHARGED IN ADVA,8.1,Fabulous,4539,11.9,€,19.63,40.41
